Date,Route,Riders,Month,Year,Fiscal Year
1/1/2021,Teton Village,45208,1,2021,2021
2/1/2021,Teton Village,39954,2,2021,2021
3/1/2021,Teton Village,38736,3,2021,2021
4/1/2021,Teton Village,10124,4,2021,2021
5/1/2021,Teton Village,12043,5,2021,2021
6/1/2021,Teton Village,9446,6,2021,2021
7/1/2021,Teton Village,9868,7,2021,2022
8/1/2021,Teton Village,6753,8,2021,2022
9/1/2021,Teton Village,7969,9,2021,2022
10/1/2021,Teton Village,4733,10,2021,2022
11/1/2021,Teton Village,6437,11,2021,2022
12/1/2021,Teton Village,49156,12,2021,2022
1/1/2022,Teton Village,62593,1,2022,2022
2/1/2022,Teton Village,59372,2,2022,2022
3/1/2022,Teton Village,58905,3,2022,2022
4/1/2022,Teton Village,13026,4,2022,2022
5/1/2022,Teton Village,4748,5,2022,2022
6/1/2022,Teton Village,14083,6,2022,2022
7/1/2022,Teton Village,18147,7,2022,2023
8/1/2022,Teton Village,17827,8,2022,2023
9/1/2022,Teton Village,13410,9,2022,2023
10/1/2022,Teton Village,7168,10,2022,2023
11/1/2022,Teton Village,9172,11,2022,2023
12/1/2022,Teton Village,49580,12,2022,2023
1/1/2023,Teton Village,57980,1,2023,2023
2/1/2023,Teton Village,52442,2,2023,2023
3/1/2023,Teton Village,49763,3,2023,2023
4/1/2023,Teton Village,13018,4,2023,2023
5/1/2023,Teton Village,8844,5,2023,2023
6/1/2023,Teton Village,17151,6,2023,2023
7/1/2023,Teton Village,19429,7,2023,2024
8/1/2023,Teton Village,19233,8,2023,2024
9/1/2023,Teton Village,13837,9,2023,2024
10/1/2023,Teton Village,9350,10,2023,2024
11/1/2023,Teton Village,10962,11,2023,2024
12/1/2023,Teton Village,58497,12,2023,2024
1/1/2024,Teton Village,70724,1,2024,2024
2/1/2024,Teton Village,70082,2,2024,2024
3/1/2024,Teton Village,61951,3,2024,2024
4/1/2024,Teton Village,19967,4,2024,2024
5/1/2024,Teton Village,9564,5,2024,2024
6/1/2024,Teton Village,17234,6,2024,2024
1/1/2019,Town Shuttle,41778,1,2019,2019
2/1/2019,Town Shuttle,36655,2,2019,2019
3/1/2019,Town Shuttle,38437,3,2019,2019
4/1/2019,Town Shuttle,27974,4,2019,2019
5/1/2019,Town Shuttle,34349,5,2019,2019
6/1/2019,Town Shuttle,45211,6,2019,2019
7/1/2019,Town Shuttle,49498,7,2019,2020
8/1/2019,Town Shuttle,45687,8,2019,2020
9/1/2019,Town Shuttle,50287,9,2019,2020
10/1/2019,Town Shuttle,47307,10,2019,2020
11/1/2019,Town Shuttle,35185,11,2019,2020
12/1/2019,Town Shuttle,36299,12,2019,2020
1/1/2020,Town Shuttle,41063,1,2020,2020
2/1/2020,Town Shuttle,38950,2,2020,2020
3/1/2020,Town Shuttle,27258,3,2020,2020
4/1/2020,Town Shuttle,7457,4,2020,2020
5/1/2020,Town Shuttle,9411,5,2020,2020
6/1/2020,Town Shuttle,12345,6,2020,2020
7/1/2020,Town Shuttle,13710,7,2020,2021
8/1/2020,Town Shuttle,13533,8,2020,2021
9/1/2020,Town Shuttle,13597,9,2020,2021
10/1/2020,Town Shuttle,12913,10,2020,2021
11/1/2020,Town Shuttle,9688,11,2020,2021
12/1/2020,Town Shuttle,12131,12,2020,2021
1/1/2021,Town Shuttle,12762,1,2021,2021
2/1/2021,Town Shuttle,12433,2,2021,2021
3/1/2021,Town Shuttle,14873,3,2021,2021
4/1/2021,Town Shuttle,12151,4,2021,2021
5/1/2021,Town Shuttle,14762,5,2021,2021
6/1/2021,Town Shuttle,17143,6,2021,2021
7/1/2021,Town Shuttle,18696,7,2021,2022
8/1/2021,Town Shuttle,21372,8,2021,2022
9/1/2021,Town Shuttle,17661,9,2021,2022
