pickup_date,pickup_hour,pickup_minute,pickup_lat,pickup_lon,dropoff_date,dropoff_hour,dropoff_minute,dropoff_lat,dropoff_lon,ride_distance_meters,ride_duration_seconds,passengers,wheelchair,created_from,job_name,ride_mode
2024-06-01,10,25,43.47197269134028,-110.76968715622411,2024-06-01,10,36,43.4800574919152,-110.75979877136818,1692,701,2,No,Rider App,On-Demand,On-Demand
2024-06-01,10,26,43.47826086956522,-110.76968715622411,2024-06-01,10,31,43.47376931369026,-110.7560906270472,1588,302,4,No,Rider App,On-Demand,On-Demand
2024-06-01,10,29,43.47826086956522,-110.77092320433111,2024-06-01,10,34,43.47826086956522,-110.76227086758216,729,290,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,29,43.47646424721523,-110.74991038651224,2024-06-01,10,33,43.47826086956522,-110.76968715622411,2104,246,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,32,43.47376931369026,-110.7560906270472,2024-06-01,10,37,43.4800574919152,-110.76597901190314,1526,292,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,36,43.47556593604024,-110.76968715622411,2024-06-01,10,40,43.47287100251527,-110.75485457894021,1936,236,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,41,43.48185411426518,-110.75979877136818,2024-06-01,10,45,43.47646424721523,-110.76474296379615,1004,230,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,42,43.47646424721523,-110.74496619408427,2024-06-01,10,48,43.4800574919152,-110.76350691568915,1982,381,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,44,43.474667624865255,-110.75732667515419,2024-06-01,10,47,43.47826086956522,-110.76721506001013,1110,195,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,52,43.471074380165284,-110.75238248272622,2024-06-01,10,56,43.47376931369026,-110.7560906270472,1699,219,1,No,Rider App,On-Demand,On-Demand
2024-06-01,10,53,43.47646424721523,-110.74620224219126,2024-06-01,10,56,43.47826086956522,-110.76227086758216,1921,217,2,No,Rider App,On-Demand,On-Demand
2024-06-01,11,2,43.4800574919152,-110.76597901190314,2024-06-01,11,5,43.48185411426518,-110.76103481947517,510,178,1,No,Rider App,On-Demand,On-Demand
